candidate_points,best_candidate,best_candidate_index
"[{'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 1, 'op_1_to_2': 1, 'op_1_to_3': 3, 'op_2_to_3': 2}, {'op_0_to_1': 2, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 3, 'op_1_to_3': 1, 'op_2_to_3': 3}, {'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 3, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 1}, {'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 2, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 0}, {'op_0_to_1': 3, 'op_0_to_2': 0, 'op_0_to_3': 2, 'op_1_to_2': 1, 'op_1_to_3': 0, 'op_2_to_3': 2}]","{'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 2, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 0}",3
"[{'op_0_to_1': 0, 'op_0_to_2': 0, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 0, 'op_2_to_3': 0}, {'op_0_to_1': 0, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 0}, {'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 0, 'op_2_to_3': 0}, {'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 0, 'op_2_to_3': 1}, {'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 1, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 0}]","{'op_0_to_1': 0, 'op_0_to_2': 0, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 0, 'op_2_to_3': 0}",0
"[{'op_0_to_1': 1, 'op_0_to_2': 3, 'op_0_to_3': 2, 'op_1_to_2': 3, 'op_1_to_3': 0, 'op_2_to_3': 2}, {'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 3, 'op_2_to_3': 1}, {'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 1, 'op_1_to_2': 2, 'op_1_to_3': 4, 'op_2_to_3': 1}, {'op_0_to_1': 2, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 1, 'op_1_to_3': 2, 'op_2_to_3': 2}, {'op_0_to_1': 3, 'op_0_to_2': 2, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 0}]","{'op_0_to_1': 1, 'op_0_to_2': 3, 'op_0_to_3': 2, 'op_1_to_2': 3, 'op_1_to_3': 0, 'op_2_to_3': 2}",0
"[{'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 1, 'op_1_to_2': 2, 'op_1_to_3': 1, 'op_2_to_3': 2}, {'op_0_to_1': 2, 'op_0_to_2': 3, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 1}, {'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 3, 'op_1_to_2': 2, 'op_1_to_3': 2, 'op_2_to_3': 1}, {'op_0_to_1': 3, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 1, 'op_1_to_3': 0, 'op_2_to_3': 1}, {'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 3, 'op_2_to_3': 0}]","{'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 1, 'op_1_to_2': 2, 'op_1_to_3': 1, 'op_2_to_3': 2}",0
"[{'op_0_to_1': 1, 'op_0_to_2': 4, 'op_0_to_3': 1, 'op_1_to_2': 0, 'op_1_to_3': 2, 'op_2_to_3': 3}, {'op_0_to_1': 0, 'op_0_to_2': 2, 'op_0_to_3': 3, 'op_1_to_2': 3, 'op_1_to_3': 1, 'op_2_to_3': 0}, {'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 3, 'op_1_to_2': 2, 'op_1_to_3': 0, 'op_2_to_3': 0}, {'op_0_to_1': 2, 'op_0_to_2': 3, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 2}, {'op_0_to_1': 3, 'op_0_to_2': 1, 'op_0_to_3': 1, 'op_1_to_2': 4, 'op_1_to_3': 0, 'op_2_to_3': 1}]","{'op_0_to_1': 0, 'op_0_to_2': 2, 'op_0_to_3': 3, 'op_1_to_2': 3, 'op_1_to_3': 1, 'op_2_to_3': 0}",1
"[{'op_0_to_1': 0, 'op_0_to_2': 3, 'op_0_to_3': 1, 'op_1_to_2': 1, 'op_1_to_3': 0, 'op_2_to_3': 2}, {'op_0_to_1': 2, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 4, 'op_1_to_3': 1, 'op_2_to_3': 3}, {'op_0_to_1': 3, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 4, 'op_2_to_3': 0}, {'op_0_to_1': 2, 'op_0_to_2': 3, 'op_0_to_3': 0, 'op_1_to_2': 2, 'op_1_to_3': 1, 'op_2_to_3': 1}, {'op_0_to_1': 0, 'op_0_to_2': 2, 'op_0_to_3': 2, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 1}]","{'op_0_to_1': 0, 'op_0_to_2': 2, 'op_0_to_3': 2, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 1}",4
"[{'op_0_to_1': 3, 'op_0_to_2': 1, 'op_0_to_3': 2, 'op_1_to_2': 0, 'op_1_to_3': 3, 'op_2_to_3': 4}, {'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 3}, {'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 2, 'op_1_to_3': 1, 'op_2_to_3': 1}, {'op_0_to_1': 2, 'op_0_to_2': 3, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 0, 'op_2_to_3': 1}, {'op_0_to_1': 0, 'op_0_to_2': 4, 'op_0_to_3': 4, 'op_1_to_2': 1, 'op_1_to_3': 2, 'op_2_to_3': 2}]","{'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 2, 'op_1_to_3': 1, 'op_2_to_3': 1}",2
"[{'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 2, 'op_1_to_2': 0, 'op_1_to_3': 0, 'op_2_to_3': 1}, {'op_0_to_1': 2, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 1}, {'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 0}, {'op_0_to_1': 3, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 2, 'op_1_to_3': 0, 'op_2_to_3': 0}, {'op_0_to_1': 0, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 1}]","{'op_0_to_1': 1, 'op_0_to_2': 2, 'op_0_to_3': 0, 'op_1_to_2': 0, 'op_1_to_3': 1, 'op_2_to_3': 0}",2
"[{'op_0_to_1': 0, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 0, 'op_1_to_3': 2, 'op_2_to_3': 2}, {'op_0_to_1': 1, 'op_0_to_2': 3, 'op_0_to_3': 1, 'op_1_to_2': 0, 'op_1_to_3': 2, 'op_2_to_3': 1}, {'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 3, 'op_1_to_2': 1, 'op_1_to_3': 0, 'op_2_to_3': 1}, {'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 2, 'op_1_to_3': 3, 'op_2_to_3': 3}, {'op_0_to_1': 2, 'op_0_to_2': 3, 'op_0_to_3': 4, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 0}]","{'op_0_to_1': 1, 'op_0_to_2': 1, 'op_0_to_3': 0, 'op_1_to_2': 2, 'op_1_to_3': 3, 'op_2_to_3': 3}",3
"[{'op_0_to_1': 2, 'op_0_to_2': 0, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 2}, {'op_0_to_1': 0, 'op_0_to_2': 0, 'op_0_to_3': 1, 'op_1_to_2': 2, 'op_1_to_3': 2, 'op_2_to_3': 2}, {'op_0_to_1': 0, 'op_0_to_2': 1, 'op_0_to_3': 2, 'op_1_to_2': 0, 'op_1_to_3': 0, 'op_2_to_3': 1}, {'op_0_to_1': 0, 'op_0_to_2': 2, 'op_0_to_3': 3, 'op_1_to_2': 0, 'op_1_to_3': 3, 'op_2_to_3': 0}, {'op_0_to_1': 1, 'op_0_to_2': 0, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 0, 'op_2_to_3': 0}]","{'op_0_to_1': 2, 'op_0_to_2': 0, 'op_0_to_3': 0, 'op_1_to_2': 1, 'op_1_to_3': 1, 'op_2_to_3': 2}",0
